"Year","Month","Discharge"
1974,10,93.6129032258064
1974,11,67.9333333333333
1974,12,47.2903225806452
1975,1,45.6129032258064
1975,2,47.5
1975,3,48.6129032258064
1975,4,45.9333333333333
1975,5,174.838709677419
1975,6,730.3
1975,7,722.612903225806
1975,8,194.58064516129
1975,9,126.266666666667
1975,10,78.9677419354839
1975,11,53.4
1975,12,48.741935483871
1976,1,42.3225806451613
1976,2,42.5172413793103
1976,3,31.1612903225806
1976,4,52.9333333333333
1976,5,169.064516129032
1976,6,455.166666666667
1976,7,304.709677419355
1976,8,200.225806451613
1976,9,117.333333333333
1976,10,85.7096774193548
1976,11,62.3333333333333
1976,12,51.6451612903226
1977,1,38.0967741935484
1977,2,34.1071428571429
1977,3,37.9677419354839
1977,4,78.7666666666667
1977,5,193.032258064516
1977,6,381.666666666667
1977,7,160.935483870968
1977,8,100.032258064516
1977,9,78.8
1977,10,70.9032258064516
1977,11,41.2333333333333
1977,12,34.741935483871
1978,1,33.1612903225806
1978,2,32.2857142857143
1978,3,35.6451612903226
1978,4,58.8
1978,5,212.290322580645
1978,6,782.266666666667
1978,7,475.225806451613
1978,8,165.645161290323
1978,9,93.5333333333333
1978,10,55.9354838709677
1978,11,44.9666666666667
1978,12,41.5161290322581
1979,1,30.5806451612903
1979,2,40.75
1979,3,39.1290322580645
1979,4,60.2666666666667
1979,5,274.354838709677
1979,6,942.9
1979,7,551.41935483871
1979,8,196.193548387097
1979,9,111.033333333333
1979,10,79.1612903225806
1979,11,57.7
1979,12,47.0645161290323
1980,1,42.7096774193548
1980,2,42.448275862069
1980,3,42.3548387096774
1980,4,88.4333333333333
1980,5,631.225806451613
1980,6,1268.03333333333
1980,7,534.612903225806
1980,8,166.032258064516
1980,9,114.833333333333
1980,10,76.9677419354839
1980,11,60.9666666666667
1980,12,47.5806451612903
1981,1,39.741935483871
1981,2,39.6428571428571
1981,3,33.5806451612903
1981,4,57.3333333333333
1981,5,123.225806451613
1981,6,427.6
1981,7,211.290322580645
1981,8,110.870967741935
1981,9,87.4666666666667
1981,10,54.258064516129
1981,11,39.2333333333333
1981,12,37.6129032258064
1982,1,39.4838709677419
1982,2,42.7142857142857
1982,3,35.6129032258064
1982,4,38.9666666666667
1982,5,166.903225806452
1982,6,630.2
1982,7,535.096774193548
1982,8,232.741935483871
1982,9,119.666666666667
1982,10,81.8387096774194
1982,11,64.3
1982,12,42.1612903225806
1983,1,40
1983,2,40.9285714285714
1983,3,54.4838709677419
1983,4,102.833333333333
1983,5,363.870967741935
1983,6,1270.53333333333
1983,7,1029.77419354839
1983,8,467.58064516129
1983,9,214.966666666667
1983,10,100.870967741935
1983,11,105.3
1983,12,86.5806451612903
1984,1,70.5161290322581
1984,2,59.5862068965517
1984,3,58.9354838709677
1984,4,111.633333333333
1984,5,655.129032258065
1984,6,952.466666666667
1984,7,775.806451612903
1984,8,475.387096774194
1984,9,230.566666666667
1984,10,192.064516129032
1984,11,115.426666666667
1984,12,58.3516129032258
1985,1,60.8516129032258
1985,2,66.9535714285714
1985,3,47.3258064516129
1985,4,57.9866666666667
1985,5,277.677419354839
1985,6,730.2
1985,7,311.612903225806
1985,8,156.935483870968
1985,9,128.46
1985,10,94.741935483871
1985,11,75.1666666666667
1985,12,65.4193548387097
1986,1,48.3548387096774
1986,2,35.2142857142857
1986,3,44.0967741935484
1986,4,95.8333333333333
1986,5,277.258064516129
1986,6,963.333333333333
1986,7,651.935483870968
1986,8,196.612903225806
1986,9,133
1986,10,88.2903225806452
1986,11,72.9666666666667
1986,12,52.0967741935484
1987,1,44.1935483870968
1987,2,47.6785714285714
1987,3,47.3548387096774
1987,4,110.866666666667
1987,5,487.258064516129
1987,6,591.233333333333
1987,7,267.483870967742
1987,8,148.483870967742
1987,9,110.733333333333
1987,10,74.3225806451613
1987,11,57.8333333333333
1987,12,57.3548387096774
1988,1,56.1290322580645
1988,2,47.1379310344828
1988,3,41.5483870967742
1988,4,72
1988,5,215.935483870968
1988,6,752.9
1988,7,348.032258064516
1988,8,158.258064516129
1988,9,106.1
1988,10,67.5483870967742
1988,11,49.3
1988,12,52.3225806451613
1989,1,54.9677419354839
1989,2,49.6071428571429
1989,3,49.6129032258064
1989,4,82.3666666666667
1989,5,266.290322580645
1989,6,521.466666666667
1989,7,321.129032258065
1989,8,142
1989,9,81.3666666666667
1989,10,64.8064516129032
1989,11,40.3
1989,12,33.4838709677419
1990,1,31.2903225806452
1990,2,31.1785714285714
1990,3,39.258064516129
1990,4,61.6
1990,5,179.225806451613
1990,6,614.433333333333
1990,7,282.58064516129
1990,8,141.129032258065
1990,9,137.966666666667
1990,10,103.258064516129
1990,11,63.2333333333333
1990,12,43.8709677419355
1991,1,37.5806451612903
1991,2,35.0357142857143
1991,3,36.1935483870968
1991,4,49.2666666666667
1991,5,273.290322580645
1991,6,806.066666666667
1991,7,353.096774193548
1991,8,214.032258064516
1991,9,138.933333333333
1991,10,76.6451612903226
1991,11,49.9666666666667
1991,12,44.6774193548387
1992,1,30.5806451612903
1992,2,29.1724137931034
1992,3,43.1290322580645
1992,4,84.3
1992,5,384.064516129032
1992,6,606.133333333333
1992,7,310.645161290323
1992,8,158.516129032258
1992,9,101.766666666667
1992,10,65.5483870967742
1992,11,50.9333333333333
1992,12,48.2258064516129
1993,1,37.4193548387097
1993,2,32.8571428571429
1993,3,33.7741935483871
1993,4,42.6333333333333
1993,5,219.935483870968
1993,6,689.233333333333
1993,7,514.806451612903
1993,8,190.161290322581
1993,9,115.533333333333
1993,10,85.2903225806452
1993,11,51
1993,12,38.6774193548387
1994,1,35.4193548387097
1994,2,33.7857142857143
1994,3,41.0645161290323
1994,4,73.0333333333333
1994,5,311.483870967742
1994,6,511.9
1994,7,195.322580645161
1994,8,113.225806451613
1994,9,86.0666666666667
1994,10,59
1994,11,49
1994,12,39.3548387096774
1995,1,29.2903225806452
1995,2,25.9285714285714
1995,3,36.3225806451613
1995,4,50.9
1995,5,269.064516129032
1995,6,1522.43333333333
1995,7,1203.32258064516
1995,8,373.064516129032
1995,9,182.2
1995,10,79.3870967741936
1995,11,63.9666666666667
1995,12,41.2903225806452
1996,1,36.4516129032258
1996,2,42.3103448275862
1996,3,51.7741935483871
1996,4,85.2
1996,5,504.387096774194
1996,6,986.633333333333
1996,7,453.838709677419
1996,8,159.516129032258
1996,9,120.6
1996,10,83.0645161290323
1996,11,61.5333333333333
1996,12,51.8064516129032
1997,1,53.3548387096774
1997,2,54.4642857142857
1997,3,55.3870967741936
1997,4,76.7666666666667
1997,5,439.677419354839
1997,6,1385.1
1997,7,535.774193548387
1997,8,281.258064516129
1997,9,145.666666666667
1997,10,100.677419354839
1997,11,74.1333333333333
1997,12,50.1935483870968
1998,1,46.5806451612903
1998,2,45.1071428571429
1998,3,57.3870967741936
1998,4,123.166666666667
1998,5,494.677419354839
1998,6,625.066666666667
1998,7,470
1998,8,266.741935483871
1998,9,145
1998,10,104.709677419355
1998,11,78.0333333333333
1998,12,59.2903225806452
1999,1,55.1290322580645
1999,2,53.75
1999,3,52.258064516129
1999,4,83.9333333333333
1999,5,399.032258064516
1999,6,869.8
1999,7,516.064516129032
1999,8,534.935483870968
1999,9,197.8
1999,10,122.096774193548
1999,11,98.1333333333333
1999,12,89.6451612903226
2000,1,74.258064516129
2000,2,67.3103448275862
2000,3,64.1935483870968
2000,4,126.1
2000,5,462.290322580645
2000,6,590.2
2000,7,272.645161290323
2000,8,161.806451612903
2000,9,135.933333333333
2000,10,102.925806451613
2000,11,75.98
2000,12,65.9064516129032
2001,1,63.3806451612903
2001,2,54.4285714285714
2001,3,51.4516129032258
2001,4,77.8333333333333
2001,5,375.838709677419
2001,6,547.1
2001,7,361.354838709677
2001,8,164.612903225806
2001,9,129.8
2001,10,95.9387096774194
2001,11,67.0633333333333
2001,12,58.9032258064516
2002,1,49.1612903225806
2002,2,42.1035714285714
2002,3,38.6677419354839
2002,4,66.0466666666667
2002,5,137.590322580645
2002,6,195.3
2002,7,86.6322580645161
2002,8,59.3322580645161
2002,9,48.2033333333333
2002,10,51.4129032258065
2002,11,36.89
2002,12,26.6645161290323
2003,1,27.9645161290323
2003,2,24.5142857142857
2003,3,40.2645161290323
2003,4,130.72
2003,5,437.096774193548
2003,6,886.666666666667
2003,7,360.58064516129
2003,8,156.451612903226
2003,9,138
2003,10,105.564516129032
2003,11,71.1466666666667
2003,12,65.1225806451613
2004,1,59.3774193548387
2004,2,58.4620689655172
2004,3,59.8903225806452
2004,4,92.5666666666667
2004,5,225.483870967742
2004,6,325.1
2004,7,251.41935483871
2004,8,143.967741935484
2004,9,96.9933333333333
2004,10,80.7838709677419
2004,11,66.9633333333333
2004,12,54.1774193548387
2005,1,44.6935483870968
2005,2,40.2142857142857
2005,3,35.4322580645161
2005,4,80.4866666666667
2005,5,361.938709677419
2005,6,696
2005,7,338.741935483871
2005,8,153.709677419355
2005,9,90.3033333333333
2005,10,83.0645161290323
2005,11,60.8633333333333
2005,12,40.1935483870968
2006,1,36.6129032258064
2006,2,39.5892857142857
2006,3,50.1129032258064
2006,4,86.9833333333333
2006,5,322.741935483871
2006,6,612.733333333333
2006,7,302.741935483871
2006,8,142.290322580645
2006,9,102.723333333333
2006,10,83.3193548387097
2006,11,64.92
2006,12,55.9
2007,1,39.4193548387097
2007,2,47.1142857142857
2007,3,84.1387096774194
2007,4,140.076666666667
2007,5,645.032258064516
2007,6,843.166666666667
2007,7,365.258064516129
2007,8,169.612903225806
2007,9,111.91
2007,10,85.4258064516129
2007,11,58.1266666666667
2007,12,42.4548387096774
2008,1,50.0064516129032
2008,2,47.4103448275862
2008,3,48.9516129032258
2008,4,66.4733333333333
2008,5,269.322580645161
2008,6,733.133333333333
2008,7,467.225806451613
2008,8,187.645161290323
2008,9,117.056666666667
2008,10,88.9741935483871
2008,11,54.44
2008,12,46.4516129032258
2009,1,43.4193548387097
2009,2,40.3464285714286
2009,3,45.2
2009,4,88.4566666666667
2009,5,472.322580645161
2009,6,799.2
2009,7,424.903225806452
2009,8,137.193548387097
2009,9,91.75
2009,10,73.0161290322581
2009,11,57.2366666666667
2009,12,44.1903225806452
2010,1,36.2709677419355
2010,2,32.7571428571429
2010,3,37.9774193548387
2010,4,88.6733333333333
2010,5,298.612903225806
2010,6,854.466666666667
2010,7,320.806451612903
2010,8,257.161290322581
2010,9,98.13
2010,10,82.7548387096774
2010,11,59.55
2010,12,45.6612903225806
2011,1,46.0709677419355
2011,2,42.2071428571429
2011,3,48.7064516129032
2011,4,76.49
2011,5,204.077419354839
2011,6,1035.46666666667
2011,7,1020.03225806452
2011,8,310.193548387097
2011,9,136.506666666667
2011,10,91.5451612903226
2011,11,64.1166666666667
2011,12,47.2225806451613
2012,1,35.1677419354839
2012,2,37.5896551724138
2012,3,50.1709677419355
2012,4,102.466666666667
2012,5,210.516129032258
2012,6,240.633333333333
2012,7,165.032258064516
2012,8,119.845161290323
2012,9,87.52
2012,10,64.5451612903226
2012,11,42.8633333333333
2012,12,32.8161290322581
2013,1,31.8032258064516
2013,2,29.9642857142857
2013,3,33.0548387096774
2013,4,47.58
2013,5,286.067741935484
2013,6,680.533333333333
2013,7,262.032258064516
2013,8,138.41935483871
2013,9,430.066666666667
2013,10,205.967741935484
2013,11,105.18
2013,12,66.3433333333333
2014,1,56.3032258064516
2014,2,52.2071428571429
2014,3,53.2903225806452
2014,4,140.56
2014,5,507.483870967742
2014,6,1238.63333333333
2014,7,570.096774193548
2014,8,211.870967741935
2014,9,131.83
2014,10,98.6903225806452
2014,11,72.8566666666667
2014,12,59.258064516129
2015,1,50.8096774193548
2015,2,49.1785714285714
2015,3,61.8741935483871
2015,4,115.446666666667
2015,5,549.645161290323
2015,6,1590.16666666667
2015,7,588
2015,8,160.161290322581
2015,9,101.396666666667
2015,10,89.058064516129
2015,11,62.2133333333333
2015,12,57.5838709677419
2016,1,55.7838709677419
2016,2,46.5241379310345
2016,3,45.9709677419355
2016,4,97.2366666666667
2016,5,319.903225806452
2016,6,1126.26666666667
2016,7,347.387096774194
2016,8,139.741935483871
2016,9,86.62
2016,10,64.8967741935484
2016,11,46.86
2016,12,44.5677419354839
2017,1,44.2806451612903
2017,2,43.8785714285714
2017,3,59.2935483870968
2017,4,75.0533333333333
2017,5,219.61935483871
2017,6,944.733333333333
2017,7,431.225806451613
2017,8,190.161290322581
2017,9,114.033333333333
2017,10,98.1096774193548
2017,11,70.6233333333333
2017,12,49.7451612903226
2018,1,44.5903225806452
2018,2,43.6607142857143
2018,3,44.4838709677419
2018,4,69.0033333333333
2018,5,381.806451612903
2018,6,474.766666666667
2018,7,151.967741935484
2018,8,83.2838709677419
2018,9,56.5
2018,10,47.8806451612903
2018,11,37.1
2018,12,31.3935483870968
2019,1,35.2
2019,2,34.425
2019,3,38.9967741935484
2019,4,72.7666666666667
2019,5,129.212903225806
2019,6,861.566666666667
2019,7,729.677419354839
2019,8,195.290322580645
2019,9,101.48
2019,10,74.3
